,date,symbol,open,high,low,close,volume btc,volume,sma10,sma22,ln
0,2014-12-01,BTCUSD,300.0,370.0,300.0,370.0,0.05656,19.53,0.0,0.0,5.913506983374815
1,2014-12-02,BTCUSD,370.0,378.0,370.0,378.0,15.01,5675.07,0.0,0.0,5.9348981877449845
2,2014-12-03,BTCUSD,378.0,378.0,377.01,378.0,0.5466,206.52,0.0,0.0,5.9348981877449845
3,2014-12-04,BTCUSD,378.0,378.0,377.1,377.1,0.01,3.77,0.0,0.0,5.9348981877449845
4,2014-12-05,BTCUSD,377.1,377.1,377.1,377.1,0.0,0.0,0.0,0.0,5.932514394786244
5,2014-12-06,BTCUSD,377.1,378.0,377.1,378.0,0.015,5.67,0.0,0.0,5.9348981877449845
6,2014-12-07,BTCUSD,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,5.9348981877449845
7,2014-12-08,BTCUSD,378.0,378.0,375.0,375.0,0.235,88.13,0.0,0.0,5.9348981877449845
8,2014-12-09,BTCUSD,375.0,375.0,375.0,375.0,0.0,0.0,0.0,0.0,5.926930012735993
9,2014-12-10,BTCUSD,375.0,398.0,360.5,360.5,0.02,7.59,378.81,0.0,5.986456032090358
10,2014-12-11,BTCUSD,360.5,360.5,360.5,360.5,0.0,0.0,377.86,0.0,5.887495916965134
11,2014-12-12,BTCUSD,360.5,379.0,350.0,350.0,3.15,1115.49,377.96,0.0,5.937540198984979
12,2014-12-13,BTCUSD,350.0,350.0,350.0,350.0,0.0,0.0,375.15999999999997,0.0,5.857937094840768
13,2014-12-14,BTCUSD,350.0,350.0,350.0,350.0,0.0,0.0,372.36,0.0,5.857937094840768
14,2014-12-15,BTCUSD,350.0,350.0,350.0,350.0,0.0,0.0,369.65,0.0,5.857937094840768
15,2014-12-16,BTCUSD,350.0,350.0,350.0,350.0,0.0,0.0,366.85,0.0,5.857937094840768
16,2014-12-17,BTCUSD,350.0,350.0,350.0,350.0,0.0,0.0,364.05,0.0,5.857937094840768
17,2014-12-18,BTCUSD,350.0,350.0,340.0,340.0,2.0,685.0,361.25,0.0,5.857937094840768
18,2014-12-19,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,357.75,0.0,5.828949538468957
19,2014-12-20,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,351.95,0.0,5.828949538468957
20,2014-12-21,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,349.9,0.0,5.828949538468957
21,2014-12-22,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,346.0,363.07272727272726,5.828949538468957
22,2014-12-23,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,345.0,361.70909090909095,5.828949538468957
23,2014-12-24,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,344.0,359.9818181818182,5.828949538468957
24,2014-12-25,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,343.0,358.25454545454545,5.828949538468957
25,2014-12-26,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,342.0,356.52727272727276,5.828949538468957
26,2014-12-27,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,341.0,354.84090909090907,5.828949538468957
27,2014-12-28,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,340.0,353.1136363636364,5.828949538468957
28,2014-12-29,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,340.0,351.3863636363636,5.828949538468957
29,2014-12-30,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,340.0,349.65909090909093,5.828949538468957
30,2014-12-31,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,340.0,348.0681818181818,5.828949538468957
31,2015-01-01,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,340.0,345.4318181818182,5.828949538468957
32,2015-01-02,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,340.0,344.5,5.828949538468957
33,2015-01-03,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,340.0,342.72727272727275,5.828949538468957
34,2015-01-04,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,340.0,342.27272727272725,5.828949538468957
35,2015-01-05,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,340.0,341.8181818181818,5.828949538468957
36,2015-01-06,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,340.0,341.3636363636364,5.828949538468957
37,2015-01-07,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0,340.0,340.90909090909093,5.828949538468957
38,2015-01-08,BTCUSD,340.0,360.0,264.81,288.99,10.35,3055.55,342.0,341.3636363636364,5.886107990756694
39,2015-01-09,BTCUSD,288.99,288.99,288.99,288.99,0.0,0.0,336.899,338.5904545454545,5.666395896954243
40,2015-01-10,BTCUSD,288.99,288.99,288.99,288.99,0.0,0.0,331.79799999999994,336.27181818181816,5.666395896954243
41,2015-01-11,BTCUSD,288.99,288.99,288.99,288.99,0.0,0.0,326.69699999999995,333.9531818181818,5.666395896954243
42,2015-01-12,BTCUSD,288.99,288.99,288.99,288.99,0.0,0.0,321.5959999999999,331.6345454545454,5.666395896954243
43,2015-01-13,BTCUSD,288.99,288.99,260.0,260.0,1.0,260.0,316.4949999999999,329.31590909090903,5.666395896954243
44,2015-01-14,BTCUSD,260.0,260.0,109.87,120.0,11.3,1760.81,308.4949999999999,325.6795454545454,5.560685371425657
45,2015-01-15,BTCUSD,120.0,224.0,120.0,211.91,2.87,571.46,296.89499999999987,320.40681818181815,5.411649692015914
46,2015-01-16,BTCUSD,211.91,225.5,189.0,199.46,4.8,985.98,285.4449999999999,315.20227272727266,5.418323803592966
47,2015-01-17,BTCUSD,199.46,210.0,184.0,184.0,0.11199999999999999,22.25,272.4449999999999,309.2931818181818,5.3471111274663015
48,2015-01-18,BTCUSD,184.0,184.0,184.0,184.0,0.0,0.0,254.84499999999989,302.20227272727266,5.214939265452057
49,2015-01-19,BTCUSD,184.0,225.51,184.0,225.51,0.41,86.26,248.49699999999993,296.99818181818176,5.418368148537549
50,2015-01-20,BTCUSD,225.51,225.51,208.0,208.0,0.02,4.23,242.14899999999997,291.79409090909087,5.418368148537549
51,2015-01-21,BTCUSD,208.0,225.51,208.0,225.51,0.1577,35.02,235.80100000000002,286.59,5.418368148537549
52,2015-01-22,BTCUSD,225.51,257.73,216.59,226.32,4.36,1000.75,232.67500000000004,282.8504545454545,5.551916259829637
53,2015-01-23,BTCUSD,226.32,235.0,215.0,235.0,0.18,41.45,227.276,278.07772727272726,5.459589186551664
54,2015-01-24,BTCUSD,235.0,250.58,215.0,240.0,1.74,431.76,226.334,274.01318181818175,5.5237819464043465
55,2015-01-25,BTCUSD,240.0,256.26,240.0,254.53,478.76,120120.06,229.56000000000003,270.20681818181816,5.546196284745435
56,2015-01-26,BTCUSD,254.53,322.72,241.43,270.0,5152.24,1439367.1,239.28200000000007,269.4213636363636,5.776788959978697
